Role,Wikidata identifier,Wikidata label,Wikidata type,UM identifier,UM label,UM type
kinderkoor,http://www.wikidata.org/entity/Q1753063,kinderkoor,http://www.wikidata.org/entity/Q105756498,https://data.muziekschatten.nl/som/um1487,Kinderkoor,https://data.muziekschatten.nl/som/Ensemble
koor,http://www.wikidata.org/entity/Q131186,koor,http://www.wikidata.org/entity/Q105756498,https://data.muziekschatten.nl/som/um1568,Koor,https://data.muziekschatten.nl/som/Ensemble
koperensemble,http://www.wikidata.org/entity/Q3244156,brassband,http://www.wikidata.org/entity/Q105756498,,,
mannenkoor,http://www.wikidata.org/entity/Q1684352,mannenkoor,http://www.wikidata.org/entity/Q105756498,https://data.muziekschatten.nl/som/um1763,Mannenkoor,https://data.muziekschatten.nl/som/Ensemble
meisjeskoor,http://www.wikidata.org/entity/Q53869202,girls' choir,http://www.wikidata.org/entity/Q105756498,,,
popgroep,http://www.wikidata.org/entity/Q2491498,popgroep,http://www.wikidata.org/entity/Q105756498,https://data.muziekschatten.nl/som/um2185,Popgroep,https://data.muziekschatten.nl/som/Ensemble
rockband,http://www.wikidata.org/entity/Q5741069,rockband,http://www.wikidata.org/entity/Q105756498,,,
vrouwenkoor,http://www.wikidata.org/entity/Q1451652,vrouwenkoor,http://www.wikidata.org/entity/Q105756498,https://data.muziekschatten.nl/som/um3004,Vrouwenkoor,https://data.muziekschatten.nl/som/Ensemble
accordeon,http://www.wikidata.org/entity/Q79838,accordeon,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um9,Accordeon,https://data.muziekschatten.nl/som/Instrument
akadinda,http://www.wikidata.org/entity/Q415058,Akadinda,http://www.wikidata.org/entity/Q34379,,,
akoestisch bas,http://www.wikidata.org/entity/Q424017,akoestische basgitaar,http://www.wikidata.org/entity/Q34379,,,
alpenhoorn,http://www.wikidata.org/entity/Q685206,alpenhoorn,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um54,Alpenhoorn,https://data.muziekschatten.nl/som/Instrument
alt viool,http://www.wikidata.org/entity/Q80284,altviool,http://www.wikidata.org/entity/Q34379,,,
altblokfluit,http://www.wikidata.org/entity/Q15791824,altblokfluit,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um57,Altblokfluit,https://data.muziekschatten.nl/som/Instrument
altfluit,http://www.wikidata.org/entity/Q544352,Altfluit,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um68,Altfluit,https://data.muziekschatten.nl/som/Instrument
althobo,http://www.wikidata.org/entity/Q185041,althobo,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um75,Althobo,https://data.muziekschatten.nl/som/Instrument
altivool,http://www.wikidata.org/entity/Q80284,altviool,http://www.wikidata.org/entity/Q34379,,,
altsax,http://www.wikidata.org/entity/Q445275,altsaxofoon,http://www.wikidata.org/entity/Q34379,,,
altsaxofoon,http://www.wikidata.org/entity/Q445275,altsaxofoon,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um88,Altsaxofoon,https://data.muziekschatten.nl/som/Instrument
alttrombone,http://www.wikidata.org/entity/Q1829398,Alttrombone,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um99,Alttrombone,https://data.muziekschatten.nl/som/Instrument
altviol,http://www.wikidata.org/entity/Q80284,altviool,http://www.wikidata.org/entity/Q34379,,,
altviool,http://www.wikidata.org/entity/Q80284,altviool,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um102,Altviool,https://data.muziekschatten.nl/som/Instrument
altviool barok,http://www.wikidata.org/entity/Q80284,altviool,http://www.wikidata.org/entity/Q34379,,,
altviool elektr.,http://www.wikidata.org/entity/Q80284,altviool,http://www.wikidata.org/entity/Q34379,,,
ardin,http://www.wikidata.org/entity/Q6532301,ardin,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um129,Ardin,https://data.muziekschatten.nl/som/Instrument
